instrument,date,startTime,filename,bridgeDate,bridgeElevation,nCells,Frequency,Orientation,nArrays,Y,bridgeDepth,waterDepth,z1,z2,z3,z4,XS,xlocal,ylocal,umultiplier,wmultiplier,p1,p2,p3,p4,surface,angle,Comment
%s,%s,%s,%s,%s,%f,%d,%f,%d,%d,%f,%f,%f,%f,%f,%f,%f,%d,%f,%f,%f,%f,%d,%d,%d,%d,%s,%f,%s
ECM,13082004,16:52:24,vels60,20604,100.33,4,0.05,1,1,7,185,115,5,15,25,35,7,6,3.35,-0.01,0.01,1,1,1,1,shear,0,
ECM,13082004,16:56:10,vels61,20604,100.33,4,0.05,1,1,7,185,115,45,55,65,75,7,6,3.35,-0.01,0.01,1,1,1,1,shear,0,
ECM,13082004,16:59:30,vels62,20604,100.33,4,0.05,1,1,7,185,115,75,85,95,105,7,6,3.35,-0.01,0.01,0,1,1,1,shear,0,
ECM,13082004,17:04:14,vels63,20604,100.33,4,0.05,1,1,7,202,130,5,15,25,35,7,5,3.35,-0.01,0.01,1,1,1,1,boil,0,
ECM,13082004,17:08:46,vels64,20604,100.33,4,0.05,1,1,7,202,130,45,55,65,75,7,5,3.35,-0.01,0.01,1,1,1,1,boil,0,
ECM,13082004,17:12:25,vels65,20604,100.33,4,0.05,1,1,7,202,130,75,85,95,105,7,5,3.35,-0.01,0.01,0,1,1,1,boil,0,
ECM,13082004,17:15:46,vels66,20604,100.33,4,0.05,1,1,7,156,79,5,15,25,35,8,5,0.6,-0.01,0.01,1,1,1,1,shear,0,
ECM,13082004,17:19:34,vels67,20604,100.33,4,0.05,1,1,7,156,79,35,45,55,65,8,5,0.6,-0.01,0.01,0,1,1,1,shear,0,
ECM,13082004,17:24:00,vels68,20604,100.33,4,0.05,1,1,7,130,51,5,15,25,35,8,4,0.6,-0.01,0.01,1,1,1,1,acceleration,0,
ECM,13082004,17:28:00,vels69,20604,100.33,4,0.05,1,1,7,164,90,5,15,25,35,7,4,3.25,-0.01,0.01,1,1,1,1,boil,0,
