label,xchannel,ychannel,zchannel,wsurf
%f,%f,%f,%f,%f
1000,1009.522,922.396,98.915,100
1001,1009.744,922.62,98.74,100
1002,1009.495,922.895,98.736,100
1003,1009.242,923.059,98.835,100
1004,1009.415,923.307,98.91,100
1005,1009.624,923.14,98.794,100
1006,1009.999,922.988,98.846,100
1007,1010.089,923.116,98.714,100
1008,1009.892,923.401,98.78,100
1009,1009.695,923.622,98.912,100
1010,1009.95,923.82,98.854,100
1011,1010.231,923.565,98.82,100
1012,1010.347,923.342,98.813,100
1013,1010.742,923.544,98.849,100
1014,1010.422,923.809,98.818,100
1015,1010.004,924.112,98.932,100
1016,1010.328,924.429,98.859,100
1017,1010.636,924.051,98.86,100
1018,1010.855,923.673,98.898,100
1019,1009.096,922.515,98.842,100
1020,1008.818,922.782,98.657,100
1021,1008.455,922.586,98.572,100
1022,1008.722,922.193,98.779,100
1023,1008.983,921.839,98.829,100
1024,1008.692,921.593,98.711,100
1025,1008.523,921.776,98.864,100
1026,1008.427,922.208,98.644,100
1027,1008.088,921.909,98.606,100
1028,1008.245,921.586,98.654,100
1029,1008.403,921.159,98.617,100
1030,1008.069,921.024,98.614,100
1031,1007.929,921.356,98.6,100
1032,1007.718,921.818,98.56,100
1033,1007.476,921.599,98.576,100
1034,1007.701,921.191,98.581,100
1035,1008.031,920.702,98.621,100
1036,1007.77,920.535,98.851,100
1037,1007.414,921.149,98.53,100
1038,1007.256,921.679,98.537,100
1039,1007.12,922.081,98.605,100
1040,1006.909,922.41,98.486,100
1041,1006.899,922.332,98.474,100
1042,1006.642,922.57,98.542,100
1043,1006.527,922.855,98.569,100
1044,1006.837,923.014,98.595,100
1045,1007.083,922.759,98.562,100
1046,1007.256,922.529,98.622,100
1047,1007.659,922.484,98.637,100
1048,1007.398,922.925,98.666,100
1049,1007.094,923.214,98.648,100
1050,1007.359,923.531,98.597,100
1051,1007.579,923.328,98.539,100
1052,1007.944,922.845,98.633,100
1053,1007.985,922.362,98.689,100
1054,1008.256,922.536,98.574,100
1055,1008.458,922.775,98.574,100
1056,1008.069,923.154,98.49,100
1057,1007.752,923.482,98.501,100
1058,1008.034,923.801,98.493,100
1059,1008.239,923.588,98.611,100
1060,1008.517,923.185,98.602,100
1061,1008.78,923.394,98.659,100
1062,1008.543,923.687,98.602,100
1063,1008.262,924.013,98.56,100
1064,1008.545,924.159,98.696,100
1065,1008.706,923.916,98.645,100
1066,1008.925,923.67,98.734,100
1067,1009.252,923.924,98.757,100
1068,1008.991,924.194,98.915,100
1069,1008.714,924.532,98.715,100
1070,1008.966,924.724,98.681,100
1071,1009.22,924.475,98.75,100
1072,1009.671,924.083,98.787,100
1073,1009.882,924.387,98.843,100
1074,1009.71,924.653,98.855,100
1075,1009.41,924.903,98.739,100
1076,1009.535,925.114,99.075,100
1077,1010.006,924.875,99.146,100
1078,1010.279,924.699,98.953,100
1079,1009.557,925.551,98.858,100
1080,1009.271,926.036,98.94,100
1081,1009.109,926.353,98.946,100
1082,1008.761,926.054,98.809,100
1083,1009.042,925.739,98.757,100
1084,1009.298,925.281,98.758,100
1085,1008.965,925.045,98.667,100
1086,1008.707,925.467,98.645,100
1087,1008.475,925.921,98.671,100
1088,1008.064,925.751,98.636,100
1089,1008.296,925.369,98.643,100
1090,1008.662,925.017,98.661,100
1091,1008.368,924.681,98.682,100
1092,1008.048,924.95,98.637,100
1093,1007.755,925.466,98.571,100
1094,1007.43,925.253,98.528,100
1095,1007.566,924.915,98.571,100
1096,1007.965,924.411,98.595,100
1097,1007.58,924.145,98.485,100
1098,1007.367,924.521,98.55,100
1099,1007.084,924.975,98.435,100
1100,1006.678,924.782,98.508,100
1101,1007.062,924.227,98.583,100
1102,1007.328,923.785,98.491,100
1103,1007.08,923.634,98.616,100
1104,1006.887,923.919,98.84,100
1105,1006.746,924.151,98.626,100
1106,1006.616,924.464,98.83,100
1107,1006.278,924.415,98.71,100
1108,1006.523,923.819,98.86,100
1109,1006.818,923.429,98.911,100
1110,1006.484,923.224,98.59,100
1111,1006.328,923.664,98.787,100
1112,1006.189,924.145,98.88,100
1113,1005.907,924.052,98.795,100
1114,1006.089,923.561,98.695,100
1115,1006.278,923.064,98.555,100
1116,1006.046,924.151,98.794,100
1117,1005.768,924.408,98.702,100
1118,1005.511,924.895,98.669,100
1119,1005.426,925.314,98.671,100
1120,1005.299,925.707,98.668,100
1121,1005.478,925.87,98.675,100
1122,1005.766,925.411,98.725,100
1123,1005.979,924.968,98.683,100
1124,1006.287,924.78,98.703,100
1125,1006.416,925.015,98.578,100
1126,1006.225,925.263,98.998,100
1127,1006.033,925.507,98.968,100
1128,1005.795,925.932,98.666,100
1129,1005.66,926.119,98.677,100
1130,1005.863,926.328,98.616,100
1131,1006.097,925.997,98.614,100
1132,1006.122,925.865,98.802,100
1133,1006.277,925.73,98.787,100
1134,1006.495,925.353,98.81,100
1135,1006.82,925.221,98.443,100
1136,1006.687,925.759,98.797,100
1137,1006.474,926.129,98.585,100
1138,1006.223,926.477,98.647,100
1139,1006.514,926.636,99.108,100
1140,1006.714,926.461,98.624,100
1141,1006.79,926.146,98.58,100
1142,1007.032,925.875,98.592,100
1143,1007.297,925.64,98.741,100
1144,1007.468,925.851,98.613,100
1145,1007.342,926.204,98.722,100
1146,1007.04,926.471,98.584,100
1147,1006.841,926.849,98.609,100
1148,1007.09,927.11,98.574,100
1149,1007.31,926.799,98.483,100
1150,1007.559,926.357,98.547,100
1151,1007.815,926.019,98.535,100
1152,1008.137,926.202,98.619,100
1153,1007.949,926.611,98.556,100
1154,1007.641,926.929,98.535,100
1155,1007.387,927.291,98.529,100
1156,1007.768,927.429,98.667,100
1157,1007.912,926.997,98.605,100
1158,1008.133,926.639,98.672,100
1159,1008.304,926.31,98.914,100
1160,1008.613,926.695,98.883,100
1161,1008.24,927.09,99.158,100
1162,1008.079,927.47,99.178,100
1163,1007.967,927.837,99.206,100
1164,1008.354,927.978,99.173,100
1165,1008.648,927.646,99.222,100
1166,1008.82,927.292,99.149,100
1167,1008.951,927.059,99.08,100
1168,1008.296,928.229,99.182,100
1169,1007.975,928.744,99.313,100
1170,1007.685,929.192,99.339,100
1171,1007.48,929.654,99.106,100
1172,1007.047,929.415,98.984,100
1173,1007.027,929.245,98.871,100
1174,1007.42,929.084,99.09,100
1175,1007.668,928.729,99.192,100
1176,1007.975,928.315,99.11,100
1177,1007.764,927.878,99.14,100
1178,1007.53,928.104,98.751,100
1179,1007.44,928.506,98.937,100
1180,1007.207,928.698,98.836,100
1181,1006.985,928.371,98.859,100
1182,1007.113,928.038,98.715,100
1183,1007.369,927.628,98.669,100
1184,1007.673,927.578,98.651,100
1185,1007.272,927.402,98.554,100
1186,1006.925,927.263,98.556,100
1187,1006.74,927.243,98.778,100
1188,1006.654,927.519,98.827,100
1189,1006.502,928.014,98.75,100
1190,1006.282,928.36,98.749,100
1191,1006.099,928.911,98.808,100
1192,1005.717,928.659,98.78,100
1193,1005.805,928.254,98.713,100
1194,1005.978,927.889,98.695,100
1195,1006.257,927.525,98.753,100
1196,1006.532,927.045,98.712,100
1197,1006.425,927.018,98.964,100
1198,1006.083,927.246,98.691,100
1199,1006.109,926.827,98.665,100
1200,1005.842,927.074,98.665,100
1201,1005.676,927.486,98.724,100
1202,1005.872,927.855,98.705,100
1203,1005.713,928.172,98.753,100
