      97 01000011   0.5550   0.0490   0.0360   0.0400   151   153   212   160   20.7   22.1   23.0   18.5    93    96    97    97
      98 01000011   0.5310   0.0770   0.0350   0.0420   159   156   189   154   21.1   22.3   22.0   18.2    95    95    94    95
      99 01000011   0.5430   0.0770   0.0370   0.0390   158   161   192   153   21.1   22.6   22.1   18.1    93    96    94    96
     100 01000011   0.5390   0.0790   0.0380   0.0440   164   164   206   158   21.4   22.7   22.8   18.4    94    96    96    97
     101 01000011   0.5530   0.0610   0.0380   0.0450   160   150   198   163   21.2   21.9   22.4   18.7    95    95    96    97
     102 01000011   0.5900   0.0450   0.0220   0.0330   157   165   198   168   21.0   22.8   22.4   18.9    95    98    95    96
     103 01000011   0.5650   0.0650   0.0180   0.0260   155   153   208   164   20.9   22.1   22.8   18.7    93    95    97    97
     104 01000011   0.5780   0.0710   0.0140   0.0190   159   166   194   158   21.1   22.8   22.2   18.4    96    97    94    96
     105 01000011   0.5760   0.0650   0.0220   0.0300   145   161   193   156   20.3   22.6   22.2   18.3    91    96    95    95
     106 01000011   0.5860   0.0860   0.0060   0.0120   152   164   207   157   20.7   22.7   22.8   18.3    92    97    95    96
     107 01000011   0.5960   0.0820  -0.0020   0.0050   159   161   201   160   21.1   22.6   22.5   18.5    94    97    94    97
     108 01000011   0.5810   0.0920  -0.0260  -0.0190   153   148   197   159   20.8   21.8   22.4   18.5    93    95    96    97
     109 01000011   0.5790   0.0940  -0.0300  -0.0200   153   153   204   158   20.8   22.1   22.7   18.4    94    95    96    97
     110 01000011   0.5700   0.1010  -0.0350  -0.0250   158   161   195   160   21.1   22.6   22.3   18.5    95    96    95    97
     111 01000011   0.5740   0.0900  -0.0230  -0.0170   152   154   196   163   20.7   22.2   22.3   18.7    93    95    95    97
     112 01000011   0.5590   0.0880  -0.0270  -0.0230   143   162   201   160   20.2   22.6   22.5   18.5    90    97    95    97
     113 01000011   0.5590   0.0860  -0.0330  -0.0250   152   166   192   148   20.7   22.8   22.1   17.8    93    97    96    96
     114 01000011   0.5680   0.0840  -0.0300  -0.0250   143   150   204   146   20.2   21.9   22.7   17.7    88    95    96    95
     115 01000011   0.5810   0.0660  -0.0300  -0.0240   150   151   201   145   20.6   22.0   22.5   17.7    93    95    94    96
     116 01000011   0.5930   0.0700  -0.0310  -0.0280   149   159   212   149   20.5   22.4   23.0   17.9    91    96    96    96
     117 01000011   0.6030   0.0760  -0.0300  -0.0210   158   155   187   152   21.1   22.2   21.9   18.1    94    95    94    96
     118 01000011   0.5830   0.0800  -0.0190  -0.0110   158   147   208   147   21.1   21.8   22.8   17.8    95    96    97    96
     119 01000011   0.5900   0.0740  -0.0110  -0.0060   160   153   180   153   21.2   22.1   21.6   18.1    94    95    95    96
     120 01000011   0.5860   0.0800  -0.0130  -0.0060   151   161   222   163   20.7   22.6   23.4   18.7    91    96    96    97
     121 01000011   0.5910   0.0680  -0.0150  -0.0080   153   166   218   155   20.8   22.8   23.2   18.2    92    98    96    96
     122 01000011   0.5850   0.0800  -0.0180  -0.0100   159   165   190   159   21.1   22.8   22.1   18.5    94    97    95    96
     123 01000011   0.5970   0.0780  -0.0140  -0.0070   149   158   211   165   20.5   22.4   23.0   18.8    92    96    95    98
     124 01000011   0.5910   0.0780  -0.0200  -0.0090   156   149   209   160   20.9   21.9   22.9   18.5    94    95    96    97
     125 01000011   0.5970   0.0650  -0.0120  -0.0040   164   165   213   146   21.4   22.8   23.0   17.7    95    97    96    95
     126 01000011   0.6090   0.0470  -0.0120  -0.0020   162   148   187   144   21.3   21.8   21.9   17.6    96    96    94    95
     127 01000011   0.6190   0.0620  -0.0210  -0.0130   155   164   205   159   20.9   22.7   22.7   18.5    94    96    95    96
     128 01000011   0.5930   0.0680  -0.0180  -0.0050   165   163   205   162   21.4   22.7   22.7   18.6    93    95    95    97
     129 01000011   0.6310   0.0660  -0.0200  -0.0150   160   162   204   155   21.2   22.6   22.7   18.2    96    96    95    96
     130 01000011   0.6270   0.0520  -0.0280  -0.0200   163   156   205   159   21.3   22.3   22.7   18.5    95    95    95    96
     131 01000011   0.6090   0.0740  -0.0350  -0.0230   147   147   200   144   20.4   21.8   22.5   17.6    91    94    95    95
     132 01000011   0.6090   0.0640  -0.0370  -0.0310   158   155   200   155   21.1   22.2   22.5   18.2    92    96    95    95
     133 01000011   0.5830   0.0940  -0.0360  -0.0260   150   154   199   159   20.6   22.2   22.5   18.5    92    94    94    96
     134 01000011   0.6030   0.0960  -0.0260  -0.0190   154   155   201   159   20.8   22.2   22.5   18.5    90    95    95    95
     135 01000011   0.5950   0.1250  -0.0190  -0.0100   164   162   211   160   21.4   22.6   23.0   18.5    95    97    94    96
     136 01000011   0.6030   0.1030  -0.0150  -0.0100   150   167   202   156   20.6   22.9   22.6   18.3    91    98    95    96
     137 01000011   0.5870   0.1090  -0.0370  -0.0250   145   148   190   150   20.3   21.8   22.1   17.9    93    95    95    96
     138 01000011   0.5990   0.1000  -0.0200  -0.0150   157   158   206   163   21.0   22.4   22.8   18.7    93    95    95    96
     139 01000011   0.5930   0.1190  -0.0210  -0.0110   161   162   205   166   21.2   22.6   22.7   18.8    95    95    93    97
     140 01000011   0.5850   0.0800  -0.0320  -0.0220   151   164   203   157   20.7   22.7   22.6   18.3    94    95    95    96
     141 01000011   0.5770   0.0520  -0.0300  -0.0220   163   158   206   147   21.3   22.4   22.8   17.8    94    95    94    96
     142 01000011   0.5710   0.0550  -0.0240  -0.0130   155   156   193   164   20.9   22.3   22.2   18.7    92    96    95    97
     143 01000011   0.5690   0.0430  -0.0210  -0.0130   155   158   193   160   20.9   22.4   22.2   18.5    93    96    95    97
     144 01000011   0.5740   0.0530  -0.0210  -0.0140   155   166   187   163   20.9   22.8   21.9   18.7    94    96    94    96
     145 01000011   0.5720   0.0430  -0.0020   0.0030   158   161   217   155   21.1   22.6   23.2   18.2    93    95    97    94
     146 01000011   0.5740   0.0220  -0.0070   0.0000   157   152   204   153   21.0   22.1   22.7   18.1    94    95    96    96
     147 01000011   0.5860   0.0450  -0.0140  -0.0070   151   149   176   159   20.7   21.9   21.4   18.5    92    95    93    96
     148 01000011   0.6290   0.0160  -0.0210  -0.0150   152   162   201   151   20.7   22.6   22.5   18.0    92    93    94    94
     149 01000011   0.5870   0.0120  -0.0240  -0.0210   157   152   213   159   21.0   22.1   23.0   18.5    92    96    94    95
     150 01000011   0.6090   0.0080  -0.0130  -0.0090   160   158   201   159   21.2   22.4   22.5   18.5    92    95    94    95
     151 01000011   0.6030   0.0120  -0.0230  -0.0210   164   163   210   160   21.4   22.7   22.9   18.5    95    97    95    97
     152 01000011   0.5690   0.0470  -0.0180  -0.0130   160   167   198   163   21.2   22.9   22.4   18.7    93    96    93    96
     153 01000011   0.5490   0.0480  -0.0290  -0.0280   151   151   201   149   20.7   22.0   22.5   17.9    92    96    96    97
     154 01000011   0.5190   0.0550  -0.0180  -0.0120   165   157   192   158   21.4   22.3   22.1   18.4    95    96    94    94
     155 01000011   0.5590   0.0610  -0.0130  -0.0080   150   152   200   160   20.6   22.1   22.5   18.5    91    96    96    97
     156 01000011   0.5760   0.0510  -0.0080  -0.0010   155   154   197   155   20.9   22.2   22.4   18.2    93    96    95    96
     157 01000011   0.5650   0.0410  -0.0230  -0.0210   161   159   203   161   21.2   22.4   22.6   18.6    93    95    95    96
     158 01000011   0.5750   0.0900  -0.0240  -0.0170   159   163   198   159   21.1   22.7   22.4   18.5    96    96    95    97
     159 01000011   0.5810   0.0940  -0.0230  -0.0150   163   159   215   160   21.3   22.4   23.1   18.5    94    94    96    97
     160 01000011   0.5570   0.1190  -0.0260  -0.0200   153   166   206   163   20.8   22.8   22.8   18.7    93    96    95    96
     161 01000011   0.5600   0.0660  -0.0470  -0.0380   163   156   217   161   21.3   22.3   23.2   18.6    95    96    94    97
     162 01000011   0.5890   0.0520  -0.0440  -0.0400   156   157   202   161   20.9   22.3   22.6   18.6    92    94    93    96
