     138 01000011   0.1620   0.0230  -0.0080  -0.0140   145   149   223   164   16.8   16.2   20.9   16.7    68    90    30    86
     139 01000011   0.3040   0.0400  -0.0550  -0.0410   159   158   228   164   17.6   16.7   21.1   16.7    89    87    12    43
     140 01000011   0.0610  -0.0220   0.0000  -0.0210   142   153   208   163   16.6   16.5   20.3   16.6    82    85    37    81
     141 01000011   0.0910  -0.0080   0.0030  -0.0200   146   147   216   160   16.8   16.1   20.7   16.5    80    89    32    80
     142 01000011   0.0510   0.0210   0.0050  -0.0160   147   151   215   161   16.9   16.3   20.6   16.5    82    73    44    61
     143 01000011   0.0550   0.0740   0.0210   0.0150   143   135   193   164   16.7   15.4   19.7   16.7    46    58    80    87
     144 01000011   0.1420  -0.0260   0.0400  -0.0100   149   141   174   166   17.0   15.7   18.8   16.8    51    86    86    89
     145 01000011   0.0810  -0.0300   0.0170  -0.0190   143   146   208   163   16.7   16.1   20.3   16.6    74    79    54    85
     146 01000011  -0.1470  -0.0740   0.0280  -0.0460   149   145   229   159   17.0   16.0   21.2   16.4    69    53    19    60
     147 01000011   0.0200  -0.0650  -0.0030  -0.0420   151   145   194   164   17.1   16.0   19.7   16.7    77    65    39    75
     148 01000011  -0.0440  -0.1020   0.0090  -0.0380   145   139   203   164   16.8   15.6   20.1   16.7    72    50    35    72
     149 01000011  -0.0600  -0.1310  -0.0130  -0.0640   155   149   222   162   17.4   16.2   20.9   16.6    76    54    62    60
     150 01000011   0.0120  -0.0860  -0.0090  -0.0330   140   151   198   161   16.5   16.3   19.9   16.5    70    56    82    85
     151 01000011   0.1120   0.0190   0.0020  -0.0090   159   153   204   165   17.6   16.5   20.2   16.7    77    75    81    85
     152 01000011   0.1260   0.0090  -0.0250  -0.0060   148   151   237   165   17.0   16.3   21.5   16.7    72    75    26    85
     153 01000011   0.0120   0.0400   0.0000   0.0040   138   145   200   162   16.4   16.0   20.0   16.6    83    73    59    83
     154 01000011   0.0450   0.0680  -0.0040   0.0110   144   147   191   167   16.7   16.1   19.6   16.9    66    71    61    89
     155 01000011   0.1580   0.0310  -0.0010   0.0070   148   143   233   165   17.0   15.9   21.3   16.7    64    70    58    90
     156 01000011   0.1660  -0.0370  -0.0130  -0.0110   148   154   217   161   17.0   16.5   20.7   16.5    59    74    46    85
     157 01000011   0.0810  -0.0220  -0.0090  -0.0090   154   141   195   160   17.3   15.7   19.8   16.5    85    69    34    86
     158 01000011   0.0320  -0.0780  -0.0020  -0.0200   146   154   162   166   16.8   16.5   18.2   16.8    86    62    47    93
     159 01000011  -0.0050  -0.0840  -0.0040  -0.0210   154   145   165   168   17.3   16.0   18.3   16.9    74    42    74    85
     160 01000011   0.0510  -0.0490  -0.0120  -0.0090   153   161   208   168   17.2   16.9   20.3   16.9    73    63    59    89
     161 01000011  -0.0700  -0.0650   0.0230  -0.0220   150   148   200   165   17.1   16.2   20.0   16.7    77    64    15    85
     162 01000011  -0.0270  -0.0760  -0.0010  -0.0300   146   141   181   167   16.8   15.7   19.1   16.9    85    44    21    77
     163 01000011  -0.0350  -0.0390   0.0130  -0.0120   145   144   155   169   16.8   15.9   17.8   17.0    80    67    36    88
     164 01000011   0.0160  -0.0160  -0.0050  -0.0160   141   143   158   165   16.5   15.9   18.0   16.7    87    49    29    78
     165 01000011   0.1280   0.0090  -0.0040  -0.0030   150   151   184   164   17.1   16.3   19.3   16.7    77    75    43    88
     166 01000011   0.3040  -0.0320  -0.0280  -0.0150   166   151   219   158   18.0   16.3   20.8   16.4    72    53    22    85
     167 01000011   0.6810  -0.1020  -0.1810  -0.0350   152   151   227   165   17.2   16.3   21.1   16.7    86    47     8    75
     168 01000011  -0.0270  -0.0840  -0.0200  -0.0390   163   152   223   165   17.8   16.4   20.9   16.7    90    40    22    74
     169 01000011   0.0770  -0.0020   0.0060   0.0040   147   142   214   164   16.9   15.8   20.6   16.7    59    51    69    88
     170 01000011   0.1160  -0.0160  -0.0210  -0.0060   158   145   202   165   17.5   16.0   20.1   16.7    72    57    57    89
     171 01000011   0.0120   0.0270   0.0050   0.0080   139   145   159   164   16.4   16.0   18.0   16.7    61    70    53    81
     172 01000011   0.0710   0.0460  -0.0090   0.0070   164   161   203   162   17.9   16.9   20.1   16.6    46    71    62    79
     173 01000011   0.0450   0.0640  -0.0040   0.0080   164   153   224   164   17.9   16.5   21.0   16.7    11    60    52    78
     174 01000011  -0.0380   0.0700   0.0260   0.0230   151   156   218   160   17.1   16.6   20.7   16.5    44    46    72    81
     175 01000011  -0.0580  -0.0800   0.0100  -0.0190   144   146   196   165   16.7   16.1   19.8   16.7    34     7    56    87
     176 01000011   0.0470   0.0910   0.0290   0.0280   150   144   162   164   17.1   15.9   18.2   16.7    21    51    50    86
     177 01000011   0.1340  -0.0960  -0.0010  -0.0260   145   141   153   161   16.8   15.7   17.7   16.5    46    49    50    88
     178 01000011   0.0470  -0.1110  -0.0230  -0.0410   147   149   182   167   16.9   16.2   19.2   16.9    65    45    14    70
     179 01000011  -0.0210  -0.1810  -0.0190  -0.0570   146   145   141   164   16.8   16.0   17.0   16.7    75    43    43    77
     180 01000011   0.0080  -0.1560  -0.0050  -0.0510   150   150   177   160   17.1   16.3   18.9   16.5    67    32    26    78
     181 01000011   0.0340  -0.0300  -0.0050  -0.0120   148   148   172   161   17.0   16.2   18.7   16.5    71    53    62    87
     182 01000011   0.1030  -0.0610  -0.0100  -0.0140   145   146   170   164   16.8   16.1   18.6   16.7    69    74    70    85
     183 01000011   0.1030  -0.0690  -0.0120  -0.0230   150   146   182   161   17.1   16.1   19.2   16.5    59    67    38    88
