     133 01000011   0.4790   0.0290   0.0280   0.0250   154   173   200   157   20.8   20.2   23.7   17.1    94    97    96    96
     134 01000011   0.4650   0.0070   0.0280   0.0240   140   159   216   162   20.0   19.4   24.4   17.3    91    97    96    96
     135 01000011   0.4920   0.0210   0.0330   0.0330   132   159   189   144   19.5   19.4   23.3   16.3    90    96    95    93
     136 01000011   0.5200   0.0030   0.0300   0.0230   138   162   195   136   19.9   19.6   23.5   15.8    92    95    95    93
     137 01000011   0.5100   0.0150   0.0170   0.0120   134   149   176   150   19.6   18.9   22.6   16.7    92    95    95    94
     138 01000011   0.4820   0.0310   0.0110   0.0080   142   153   164   153   20.1   19.1   22.0   16.8    91    95    94    87
     139 01000011   0.5180   0.0360  -0.0090  -0.0140   149   163   177   145   20.5   19.6   22.7   16.4    92    97    96    88
     140 01000011   0.4900   0.0280  -0.0060  -0.0070   142   143   175   157   20.1   18.5   22.6   17.1    92    94    92    94
     141 01000011   0.4760   0.0300   0.0010  -0.0040   143   158   187   145   20.2   19.4   23.2   16.4    92    95    94    91
     142 01000011   0.4860   0.0030  -0.0040  -0.0050   125   146   165   140   19.0   18.7   22.1   16.1    91    94    94    89
     143 01000011   0.4740  -0.0040   0.0020   0.0050   133   149   192   152   19.6   18.9   23.4   16.8    92    96    95    91
     144 01000011   0.4970   0.0130  -0.0060  -0.0050   142   165   195   153   20.1   19.7   23.5   16.8    94    96    93    94
     145 01000011   0.4990   0.0170   0.0090   0.0020   140   146   180   156   20.0   18.7   22.8   17.0    93    95    95    95
     146 01000011   0.5150  -0.0370  -0.0050  -0.0090   128   155   184   130   19.2   19.2   23.0   15.4    90    95    95    92
     147 01000011   0.5010   0.0030   0.0050   0.0050   144   157   193   158   20.2   19.3   23.4   17.1    91    95    95    95
     148 01000011   0.4990  -0.0040   0.0130   0.0090   135   157   165   135   19.7   19.3   22.1   15.8    93    97    93    93
     149 01000011   0.4780   0.0280   0.0100   0.0110   137   147   161   138   19.8   18.7   21.9   15.9    92    95    95    92
     150 01000011   0.4700   0.0260   0.0090   0.0170   117   155   142   129   18.4   19.2   20.8   15.4    90    96    92    92
     151 01000011   0.4780   0.0420   0.0030   0.0020   149   155   177   150   20.5   19.2   22.7   16.7    93    96    94    95
     152 01000011   0.4520   0.0340  -0.0110  -0.0070   147   137   192   132   20.4   18.1   23.4   15.6    94    94    96    93
     153 01000011   0.4580   0.0420  -0.0020  -0.0010   120   143   185   151   18.7   18.5   23.1   16.7    90    95    95    93
     154 01000011   0.4500   0.0320  -0.0090  -0.0070   125   140   178   145   19.0   18.3   22.7   16.4    91    92    95    93
     155 01000011   0.4230   0.0300  -0.0110  -0.0050   146   159   191   146   20.4   19.4   23.3   16.4    93    95    95    95
     156 01000011   0.4310   0.0240  -0.0040  -0.0010   148   163   199   141   20.5   19.6   23.7   16.1    93    96    96    94
     157 01000011   0.4190   0.0460   0.0050   0.0010   142   152   167   146   20.1   19.0   22.2   16.4    93    94    94    93
     158 01000011   0.4050   0.0320   0.0060   0.0090   144   156   199   148   20.2   19.3   23.7   16.6    92    96    96    95
     159 01000011   0.4270   0.0260   0.0080   0.0030   146   167   178   151   20.4   19.8   22.7   16.7    93    97    94    93
