     180 01000011   0.4670  -0.0310  -0.0190   0.0270   159   160   202   152   18.5   20.0   21.5   18.1    44    47    75    27
     181 01000011   0.4550   0.2100  -0.0410  -0.0680   129   146   177   140   16.6   19.2   20.4   17.3    49    33    72    22
     182 01000011   0.4650   0.0040  -0.0560  -0.0410   163   162   204   165   18.7   20.1   21.6   18.8    72    56    88    35
     183 01000011   0.4230  -0.0040  -0.0500  -0.0390   147   158   200   169   17.8   19.9   21.4   19.0    55    42    84    39
     184 01000011   0.4790   0.0450  -0.0250  -0.0230   153   153   180   147   18.1   19.6   20.5   17.8    48    48    75    46
     185 01000011   0.3880  -0.0110  -0.0190  -0.0040   133   161   198   152   16.9   20.1   21.3   18.1    39    33    79    34
     186 01000011   0.3850  -0.0050   0.0090   0.0290   156   150   203   150   18.3   19.4   21.5   17.9    55    41    83    16
     187 01000011   0.3850   0.0290   0.0300   0.0440   151   155   183   134   18.0   19.7   20.6   17.0    46    33    72    15
     188 01000011   0.4810   0.0270   0.0370   0.0370   158   151   196   147   18.4   19.5   21.2   17.8    53    38    73    13
     189 01000011   0.4090   0.0430   0.0050   0.0350   163   159   196   155   18.7   19.9   21.2   18.2    49    55    76    23
     190 01000011   0.4220   0.1190   0.0150   0.0200   152   164   181   147   18.1   20.2   20.5   17.8    51    48    65    24
     191 01000011   0.3710   0.1040   0.0020   0.0150   154   172   195   158   18.2   20.6   21.2   18.4    61    51    80    39
     192 01000011   0.4170   0.0670  -0.0160   0.0090   139   151   199   147   17.3   19.5   21.4   17.8    47    44    75    42
     193 01000011   0.4080  -0.0410   0.0000   0.0510   149   154   199   155   17.9   19.7   21.4   18.2    43    29    69    25
     194 01000011   0.4220  -0.0210   0.0170   0.0430   162   154   187   156   18.6   19.7   20.8   18.3    44    42    70    21
     195 01000011   0.4150   0.1210  -0.0060  -0.0030   162   161   194   159   18.6   20.1   21.1   18.5    61    53    75    37
     196 01000011   0.4020   0.0740  -0.0080   0.0010   151   159   194   150   18.0   19.9   21.1   17.9    53    53    70    25
     197 01000011   0.4440   0.0290   0.0420   0.0480   160   159   210   169   18.5   19.9   21.8   19.0    65    40    79    54
     198 01000011   0.4330   0.0170   0.0100   0.0300   150   158   207   153   17.9   19.9   21.7   18.1    30    41    72    36
     199 01000011   0.3430   0.0220  -0.0150   0.0210   146   156   203   154   17.7   19.8   21.5   18.2    48    34    71    26
     200 01000011   0.3160   0.1720  -0.0220  -0.0160   151   152   189   153   18.0   19.6   20.9   18.1    37    29    73    22
     201 01000011   0.4230  -0.0150  -0.0040   0.0050   159   150   188   156   18.5   19.4   20.9   18.3    43    33    72    26
     202 01000011   0.3860  -0.0820  -0.0320  -0.0540   157   147   189   160   18.3   19.3   20.9   18.5    45    29    80    30
     203 01000011   0.5120   0.0660  -0.0110  -0.0270   153   158   204   159   18.1   19.9   21.6   18.5    52    59    77    27
     204 01000011   0.4750   0.0060  -0.0280  -0.0270   166   160   209   166   18.8   20.0   21.8   18.8    76    43    77    46
     205 01000011   0.4570   0.0200  -0.0460  -0.0270   155   155   205   159   18.2   19.7   21.6   18.5    51    40    80    25
     206 01000011   0.4100   0.1320  -0.0560  -0.0340   153   160   193   152   18.1   20.0   21.1   18.1    48    57    71    25
     207 01000011   0.3500   0.0720  -0.0750  -0.0500   139   161   195   149   17.3   20.1   21.2   17.9    35    42    77    19
     208 01000011   0.3430   0.2440  -0.0290  -0.0310   136   158   176   149   17.1   19.9   20.3   17.9    36    44    68    19
     209 01000011   0.3890   0.0930   0.0310   0.0280   143   157   197   155   17.5   19.8   21.3   18.2    29    39    75    12
     210 01000011   0.3910   0.0490   0.0260   0.0430   152   158   201   161   18.1   19.9   21.5   18.6    54    48    77    31
     211 01000011   0.4360   0.0130   0.0320   0.0290   150   156   203   147   17.9   19.8   21.5   17.8    53    35    81    15
     212 01000011   0.4870  -0.0090   0.0380   0.0400   144   143   189   151   17.6   19.0   20.9   18.0    33    29    71    22
     213 01000011   0.3790   0.0090   0.0310   0.0480   144   155   194   150   17.6   19.7   21.1   17.9    37    37    72    23
     214 01000011   0.4120   0.0480   0.0400   0.0570   147   159   182   157   17.8   19.9   20.6   18.3    51    41    76    28
     215 01000011   0.4110   0.0710   0.0210   0.0250   138   156   189   161   17.2   19.8   20.9   18.6    45    34    72    20
     216 01000011   0.4100   0.0850  -0.0030   0.0230   141   156   194   164   17.4   19.8   21.1   18.7    46    42    67    21
     217 01000011   0.4450   0.1800  -0.0120  -0.0070   151   160   207   145   18.0   20.0   21.7   17.7    49    59    82    13
     218 01000011   0.4610   0.1100  -0.0030  -0.0020   161   157   193   160   18.6   19.8   21.1   18.5    60    39    69    29
     219 01000011   0.4050   0.0950   0.0100   0.0310   160   161   207   155   18.5   20.1   21.7   18.2    51    40    75    23
     220 01000011   0.4140   0.1660   0.0080   0.0170   157   154   196   160   18.3   19.7   21.2   18.5    49    42    76    44
     221 01000011   0.3810   0.1780  -0.0090  -0.0100   153   152   193   158   18.1   19.6   21.1   18.4    45    29    68    30
     222 01000011   0.3730   0.3060  -0.0210  -0.0430   142   156   197   152   17.5   19.8   21.3   18.1    36    40    75    12
     223 01000011   0.3830   0.0500   0.0130   0.0570   165   164   199   156   18.8   20.2   21.4   18.3    55    54    75    21
     224 01000011   0.4390   0.1040   0.0030   0.0170   153   156   200   150   18.1   19.8   21.4   17.9    51    44    84    37
     225 01000011   0.4650   0.3120  -0.0030  -0.0320   155   164   174   156   18.2   20.2   20.2   18.3    49    51    67    37
     226 01000011   0.3920  -0.0530  -0.0370   0.0440   154   166   193   151   18.2   20.3   21.1   18.0    43    56    76    16
     227 01000011   0.4960   0.0120  -0.0330  -0.0410   152   154   179   163   18.1   19.7   20.4   18.7    48    30    71    35
     228 01000011   0.4770   0.0660  -0.0100  -0.0090   158   157   201   149   18.4   19.8   21.5   17.9    38    48    83    33
     229 01000011   0.4690   0.0410  -0.0090   0.0050   153   162   210   165   18.1   20.1   21.8   18.8    40    66    76    22
     230 01000011   0.5280   0.2880  -0.0120  -0.0380   156   162   204   153   18.3   20.1   21.6   18.1    48    50    76    30
     231 01000011   0.5440   0.1310  -0.0250   0.0100   147   161   217   162   17.8   20.1   22.1   18.6    47    48    82    27
